AAo
AKs
AQs
AJs
ATs
A9s
A8s
A7s
A6s
A5s
A4s
A3s
A2s
AKo
KKo
KQs
KJs
KTs
K9s
AQo
KQo
QQo
QJs
QTs
Q9s
AJo
KJo
QJo
JJo
JTs
J9s
ATo
TTo
T9s
99o
88o
77o
66o
55o
