ATs
A9s
A8s
A7s
A6s
A5s
A4s
A3s
A2s
KQs
KJs
KTs
K9s
K8s
K7s
K6s
K5s
K4s
K3s
K2s
KQo
QJs
QTs
Q9s
Q8s
Q7s
Q6s
Q5s
Q4s
Q3s
Q2s
AJo
KJo
QJo
JJo
JTs
J9s
J8s
J7s
J6s
J5s
J4s
J3s
J2s
ATo
KTo
QTo
JTo
TTo
T9s
T8s
T7s
T6s
T5s
T4s
A9o
K9o
Q9o
J9o
T9o
99o
98s
97s
96s
95s
A8o
K8o
Q8o
J8o
T8o
98o
88o
87s
86s
85s
A7o
K7o
Q7o
J7o
T7o
97o
87o
77o
76s
75s
74s
A6o
K6o
Q6o
76o
66o
65s
64s
63s
A5o
K5o
Q5o
65o
55o
54s
53s
A4o
K4o
Q4o
44o
43s
A3o
K3o
33o
32s
A2o
K2o
Q2o
22o
