ATs
A9s
A8s
A7s
A6s
A5s
A4s
A3s
A2s
KQs
KJs
KTs
K9s
AQo
KQo
QJs
QTs
Q9s
AJo
KJo
QJo
JJo
JTs
J9s
ATo
KTo
QTo
TTo
T9s
A9o
99o
98s
88o
77o
66o
65s
55o
44o
33o
