ATs
A9s
A8s
A7s
A6s
A5s
A4s
A3s
A2s
KQs
KJs
KTs
K9s
K8s
K7s
K6s
KQo
QJs
QTs
Q9s
Q8s
AJo
KJo
QJo
JJo
JTs
J9s
J8s
ATo
KTo
QTo
JTo
TTo
T9s
T8s
T7s
A9o
99o
98s
97s
88o
87s
86s
77o
76s
66o
65s
55o
54s
44o
33o
22o
