AAo,R,100
AKs,R,100
AQs,R,100
AJs,R,100
ATs,R,100
A9s,R,100
A8s,R,100
A7s,R,100
A6s,C,6
A5s,R,100
A4s,R,100
A3s,R,100
A2s,C,14
AKo,C,64
KKo,C,78
KQs,R,100
KJs,R,100
KTs,C,83
K9s,R,100
K8s,R,100
K7s,C,4
K6s,C,14
K5s,C,14
K4s,C,8
K3s,C,6
K2s,C,9
AQo,R,100
KQo,C,75
QQo,C,9
QJs,R,100
QTs,R,100
Q9s,C,37
Q8s,R,100
Q7s,R,100
Q6s,C,4
Q5s,C,10
Q4s,C,8
Q3s,C,14
Q2s,R,100
AJo,C,9
KJo,C,49
QJo,C,15
JJo,C,35
JTs,R,100
J9s,R,100
J8s,C,0
J7s,C,65
J6s,C,5
J5s,C,13
J4s,C,13
J3s,C,5
J2s,C,5
ATo,C,12
KTo,C,40
QTo,C,27
JTo,C,17
TTo,R,100
T9s,C,84
T8s,C,23
T7s,C,22
T6s,C,32
T5s,C,14
T4s,C,15
A9o,C,68
K9o,C,89
Q9o,C,44
J9o,C,57
T9o,R,100
99o,R,100
98s,C,83
97s,C,83
96s,C,19
95s,C,19
A8o,C,9
K8o,C,49
Q8o,C,34
J8o,C,48
T8o,C,28
98o,R,100
88o,R,100
87s,C,28
86s,C,36
85s,C,0
A7o,R,100
K7o,C,6
Q7o,C,15
J7o,C,15
T7o,C,0
97o,C,47
87o,R,100
77o,C,89
76s,C,45
75s,C,41
74s,C,15
A6o,C,7
K6o,C,0
Q6o,F,7
76o,C,55
66o,R,100
65s,C,93
64s,C,15
63s,C,0
A5o,C,15
K5o,C,54
Q5o,F,14
65o,C,18
55o,R,100
54s,R,100
53s,C,71
A4o,C,32
K4o,C,42
Q4o,F,5
44o,C,38
43s,C,14
A3o,C,6
K3o,F,9
33o,R,100
32s,F,11
A2o,C,11
K2o,F,9
Q2o,F,6
22o,C,92
