AAo,R,100
AKs,R,100
AQs,R,100
AJs,R,100
ATs,C,76
A9s,C,14
A8s,C,30
A7s,C,39
A6s,C,16
A5s,C,34
A4s,C,26
A3s,C,0
A2s,C,0
AKo,R,100
KKo,R,100
KQs,R,100
KJs,C,35
KTs,C,0
K9s,C,0
K8s,C,0
K7s,C,0
K6s,C,0
K4s,C,0
AQo,C,34
KQo,C,0
QQo,R,100
QJs,R,100
QTs,C,0
Q9s,C,0
Q8s,C,0
AJo,C,30
KJo,C,0
QJo,C,0
JJo,R,100
JTs,C,80
J9s,C,0
J8s,C,0
ATo,C,4
KTo,C,0
JTo,C,0
TTo,R,100
T9s,C,9
T8s,C,0
T7s,C,0
99o,C,0
98s,C,0
97s,C,0
88o,C,0
87s,C,0
86s,C,0
77o,C,4
76s,C,0
75s,C,0
66o,C,13
65s,C,0
64s,C,0
55o,C,0
54s,C,0
53s,C,0
44o,C,0
43s,C,0
33o,C,0
22o,C,0
