AAo,R,100
AKs,R,100
AQs,R,100
AJs,R,100
ATs,R,100
A9s,R,100
A8s,R,100
A7s,R,100
A6s,R,100
A5s,R,100
A4s,R,100
A3s,R,100
A2s,R,100
AKo,R,100
KKo,R,100
KQs,R,100
KJs,R,100
KTs,R,100
K9s,R,100
K8s,R,100
K7s,R,100
K6s,R,100
K5s,R,100
K4s,R,100
K3s,R,100
K2s,R,100
AQo,R,100
KQo,R,100
QQo,R,100
QJs,R,100
QTs,R,100
Q9s,R,100
Q8s,R,100
Q7s,R,100
Q6s,R,100
Q5s,F,96
AJo,R,100
KJo,R,100
QJo,R,100
JJo,R,100
JTs,R,100
J9s,R,100
J8s,R,100
J7s,R,100
ATo,R,100
KTo,R,100
QTo,R,100
JTo,R,100
TTo,R,100
T9s,R,100
T8s,R,100
T7s,R,100
T6s,F,30
A9o,R,100
K9o,R,100
Q9o,R,100
J9o,R,100
T9o,R,100
99o,R,100
98s,R,100
97s,R,100
96s,F,95
A8o,R,100
88o,R,100
87s,R,100
86s,R,100
85s,F,94
A7o,R,100
K7o,F,4
77o,R,100
76s,R,100
75s,R,100
A6o,R,100
66o,R,100
65s,R,100
64s,R,100
A5o,R,100
55o,R,100
54s,R,100
A4o,R,100
44o,R,100
33o,R,100
22o,R,100
