AAo,R,100
AKs,R,100
AQs,R,100
AJs,R,100
ATs,C,43
A9s,C,0
A8s,C,0
A7s,C,0
A6s,C,0
A5s,C,0
A4s,C,0
A3s,C,14
A2s,C,58
AKo,R,100
KKo,R,100
KQs,R,100
KJs,R,100
KTs,C,79
K9s,R,100
K8s,C,12
K7s,C,0
K6s,C,7
K5s,C,15
K4s,C,19
K3s,C,74
K2s,C,70
AQo,R,100
KQo,C,52
QQo,R,100
QJs,C,89
QTs,C,91
Q9s,C,46
Q8s,C,95
Q7s,C,21
Q6s,C,9
Q5s,C,11
Q4s,C,13
Q3s,C,14
Q2s,C,22
AJo,C,51
KJo,C,6
QJo,C,0
JJo,R,100
JTs,C,78
J9s,C,72
J8s,C,19
J7s,C,19
J6s,C,12
J5s,C,13
J4s,C,15
J3s,C,10
J2s,C,11
ATo,C,0
KTo,C,5
QTo,C,24
JTo,C,0
TTo,R,100
T9s,C,15
T8s,C,9
T7s,C,9
T6s,C,0
T5s,C,0
T4s,C,0
T3s,C,0
T2s,C,0
A9o,C,0
K9o,C,23
Q9o,C,19
J9o,C,16
T9o,C,0
99o,C,72
98s,C,0
97s,C,4
96s,C,9
95s,C,0
94s,C,0
93s,C,0
92s,C,0
A8o,C,0
K8o,C,15
Q8o,C,16
J8o,C,19
T8o,C,7
98o,C,0
88o,C,0
87s,C,0
86s,C,0
85s,C,6
84s,C,0
83s,C,0
82s,C,0
A7o,C,0
K7o,C,15
Q7o,C,0
T7o,C,0
97o,C,8
87o,C,0
77o,C,0
76s,C,0
75s,C,0
74s,C,0
73s,C,0
A6o,C,8
K6o,F,21
86o,C,0
76o,C,0
66o,C,0
65s,C,0
64s,C,0
63s,C,0
62s,C,0
A5o,C,12
K5o,F,6
65o,C,0
55o,C,0
54s,C,0
53s,C,0
52s,C,0
A4o,C,68
K4o,F,7
54o,C,0
44o,C,0
43s,C,0
42s,C,0
A3o,C,95
K3o,F,10
33o,C,0
32s,C,0
A2o,C,84
K2o,F,13
22o,C,0
