AAo,R,100
AKs,R,100
AQs,C,0
AJs,C,0
ATs,C,0
A9s,C,0
A8s,C,0
A7s,C,0
A6s,C,0
A5s,C,0
A4s,C,0
A3s,C,8
A2s,C,32
AKo,R,100
KKo,C,96
KQs,C,0
KJs,C,0
KTs,C,0
K9s,C,0
K8s,C,0
K7s,C,0
K6s,C,4
K2s,F,63
AQo,C,0
KQo,C,0
QQo,C,93
QJs,C,0
QTs,C,0
Q9s,C,0
AJo,C,0
KJo,F,6
JJo,C,84
JTs,C,0
J9s,C,0
J8s,C,0
QTo,F,3
TTo,C,0
T9s,C,0
T8s,C,0
99o,C,0
98s,C,0
97s,C,0
A8o,F,9
88o,C,0
87s,C,0
86s,C,0
A7o,F,8
77o,C,0
76s,C,0
75s,C,0
66o,C,0
65s,C,0
64s,C,0
A5o,F,20
55o,C,0
54s,C,0
53s,C,0
A4o,F,21
44o,C,0
43s,C,0
33o,C,0
22o,C,0
